# Spatial statistics process output
# Kratos version               : 9.2."2"-5dfe714-Release-x86_64
# Timestamp                    : 2023-02-16 13:19:57.431125
# Method name(s)               : variance, max, distribution
# Variable info(s)             : CFL_NUMBER[magnitude, element_non_historical]
# Modelpart name               : FluidModelPart.fluid_computational_model_part
# Output control variable name : STEP
# ----------------------------------------------------------------------
# Headers:
#"TIME" "STEP" "mean" "variance" "max_value" "max_id"                    "group_below_min {mean|variance}"                            "group_1 {mean|variance}"                    "group_above_max {mean|variance}"
  20.10    670   0.49       0.09        5.15     1984  2.80e+06 [#] =  95.31 [%] <   1.00 {   0.45 |   0.06 }  1.37e+05 [#] =   4.68 [%] <   2.50 {   1.20 |   0.04 }    460 [#] =   0.02 [%]>=   2.50 {   2.99 |   0.23 }
  20.40    680   0.49       0.09        5.33     1102  2.80e+06 [#] =  95.37 [%] <   1.00 {   0.45 |   0.06 }  1.35e+05 [#] =   4.61 [%] <   2.50 {   1.20 |   0.04 }    451 [#] =   0.02 [%]>=   2.50 {   3.04 |   0.24 }
  20.70    690   0.48       0.09        4.32     1984  2.80e+06 [#] =  95.46 [%] <   1.00 {   0.45 |   0.06 }  1.33e+05 [#] =   4.53 [%] <   2.50 {   1.20 |   0.04 }    288 [#] =   0.01 [%]>=   2.50 {   2.85 |   0.14 }
  21.00    700   0.48       0.09        4.27  1.45e+06  2.80e+06 [#] =  95.57 [%] <   1.00 {   0.45 |   0.06 }  1.30e+05 [#] =   4.43 [%] <   2.50 {   1.20 |   0.04 }    186 [#] =   0.01 [%]>=   2.50 {   2.81 |   0.12 }
  21.30    710   0.48       0.09        4.20  1.45e+06  2.81e+06 [#] =  95.66 [%] <   1.00 {   0.45 |   0.06 }  1.27e+05 [#] =   4.33 [%] <   2.50 {   1.20 |   0.04 }    188 [#] =   0.01 [%]>=   2.50 {   2.84 |   0.13 }
  21.60    720   0.48       0.08        4.11  1.45e+06  2.81e+06 [#] =  95.75 [%] <   1.00 {   0.45 |   0.06 }  1.24e+05 [#] =   4.24 [%] <   2.50 {   1.20 |   0.04 }    160 [#] =   0.01 [%]>=   2.50 {   2.80 |   0.10 }
  21.90    730   0.48       0.08        4.10  1.47e+06  2.81e+06 [#] =  95.80 [%] <   1.00 {   0.44 |   0.06 }  1.23e+05 [#] =   4.19 [%] <   2.50 {   1.20 |   0.04 }    116 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.12 }
  22.20    740   0.47       0.08        4.60  1.57e+06  2.81e+06 [#] =  95.86 [%] <   1.00 {   0.44 |   0.06 }  1.21e+05 [#] =   4.13 [%] <   2.50 {   1.20 |   0.04 }    148 [#] =   0.01 [%]>=   2.50 {   2.82 |   0.13 }
  22.50    750   0.47       0.08        4.40  1.57e+06  2.82e+06 [#] =  95.98 [%] <   1.00 {   0.44 |   0.06 }  1.18e+05 [#] =   4.02 [%] <   2.50 {   1.20 |   0.04 }    129 [#] =   0.00 [%]>=   2.50 {   2.77 |   0.12 }
  22.80    760   0.47       0.08        4.28  1.45e+06  2.82e+06 [#] =  96.11 [%] <   1.00 {   0.44 |   0.06 }  1.14e+05 [#] =   3.89 [%] <   2.50 {   1.19 |   0.04 }     97 [#] =   0.00 [%]>=   2.50 {   2.79 |   0.14 }
  23.10    770   0.47       0.08        4.23  1.45e+06  2.82e+06 [#] =  96.23 [%] <   1.00 {   0.44 |   0.06 }  1.11e+05 [#] =   3.77 [%] <   2.50 {   1.19 |   0.04 }     99 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.12 }
  23.40    780   0.47       0.08        4.23  1.47e+06  2.83e+06 [#] =  96.30 [%] <   1.00 {   0.44 |   0.06 }  1.08e+05 [#] =   3.69 [%] <   2.50 {   1.19 |   0.04 }     97 [#] =   0.00 [%]>=   2.50 {   2.78 |   0.11 }
  23.70    790   0.46       0.08        4.24  1.47e+06  2.83e+06 [#] =  96.37 [%] <   1.00 {   0.44 |   0.06 }  1.06e+05 [#] =   3.63 [%] <   2.50 {   1.19 |   0.04 }     86 [#] =   0.00 [%]>=   2.50 {   2.77 |   0.11 }
  24.00    800   0.46       0.08        4.25  1.47e+06  2.83e+06 [#] =  96.47 [%] <   1.00 {   0.44 |   0.06 }  1.04e+05 [#] =   3.53 [%] <   2.50 {   1.19 |   0.04 }     72 [#] =   0.00 [%]>=   2.50 {   2.77 |   0.11 }
