# Level force for level 45
# start: 0.0, 0.0, 206.0183537037037
# center: 0.0, 0.0, 208.33316666666667
# end: 0.0, 0.0, 210.64797962962962
# as part of FluidModelPart.Drag_structure
# Time Fx Fy Fz Mx My Mz Fx' Fy' Fz' Mx' My' Mz'
2.6699999999999973 4218.39422371 146581.76752747 -337.48061748 54622.28607638 75973.53400560 1589679.39183887 106631.81697829 100666.10665568 -337.48061748 92345.18997459 15097.61219755 1589679.39183887
2.699999999999997 3002.93826120 147495.47959908 -348.95430281 54996.66531439 76259.42644937 1599306.42495185 106418.45182685 102171.65581089 -348.95430281 92812.07255820 15035.04258529 1599306.42495185
2.729999999999997 2508.64957607 146926.25092611 -359.18059901 54696.94952376 76014.02346380 1592744.56883780 105666.43149103 102118.66523731 -359.18059901 92426.61537499 15073.44753806 1592744.56883780
2.7599999999999967 2776.80868593 145009.70895168 -368.00360658 53771.54964264 75307.09721991 1571476.70559609 104500.84878950 100573.84828574 -368.00360658 91272.38650289 15227.93172845 1571476.70559609
2.7899999999999965 3782.84428526 142007.21292091 -375.44549163 52326.37657725 74252.38246365 1538358.01868157 103089.13808006 97739.38838750 -375.44549163 89504.69887200 15504.02744661 1538358.01868157
2.8199999999999963 5438.27720449 138273.72154645 -381.69674543 50511.97951246 72993.13452984 1497264.52287932 101619.72885466 93928.84347613 -381.69674543 87331.30365053 15896.57716169 1497264.52287932
2.849999999999996 7598.17066176 134217.93215670 -387.08473914 48506.94596460 71685.29214938 1452657.84013676 100279.12798438 89533.69198530 -387.08473914 84988.74661638 16389.56576395 1452657.84013676
2.879999999999996 10074.13580882 130259.09261901 -392.02932297 46499.34267682 70480.51908373 1409113.65976028 99230.57744712 84983.59795710 -392.02932297 82717.25351315 16957.25245816 1409113.65976028
2.9099999999999957 12651.82608622 126784.93578309 -396.99043708 44667.99924206 69510.79212282 1370862.60232327 98596.67986448 80704.29582456 -396.99043708 80736.59764179 17566.50730960 1370862.60232327
2.9399999999999955 15111.40070428 124114.87078018 -402.41488330 43165.52967293 68876.11821841 1341388.76522881 98447.84068598 77077.09286354 -402.41488330 79225.40899928 18180.13150881 1341388.76522881
2.9699999999999953 17248.85226753 122471.85843564 -408.68822456 42104.65443833 68636.39809343 1323123.06230575 98797.46201042 74403.90119830 -408.68822456 78305.74920094 18760.77585522 1323123.06230575
2.999999999999995 18895.79645171 121965.31361453 -416.09771397 41549.06116832 68807.92730042 1317257.11763045 99603.84613330 72881.15451945 -416.09771397 78034.17489757 19274.92908946 1317257.11763045
3.029999999999995 19935.64318616 122586.20548083 -424.80551817 41509.50330385 69364.56865912 1323690.09543980 100778.16565967 72584.90869117 -424.80551817 78399.80814278 19696.50560311 1323690.09543980
3.0599999999999947 20314.43574932 124214.20835778 -434.84160356 41945.27396282 70243.14810740 1341106.73822380 102197.18432382 73468.23377519 -434.84160356 79329.19401648 20009.61870080 1341106.73822380
3.0899999999999945 20044.90363351 126635.52722130 -446.10640635 42770.74746331 71352.15865571 1367172.18270861 103718.72732480 75370.95274983 -446.10640635 80697.08080548 20210.10967003 1367172.18270861
3.1199999999999943 19203.66175743 129569.06367113 -458.38691149 43866.02067374 72582.62258398 1398817.83948255 105198.20300614 78040.12410156 -458.38691149 82341.62530750 20305.70394336 1398817.83948255
3.149999999999994 17922.03286379 132697.93254122 -471.38477670 45090.47158054 73820.11873185 1432585.31169743 106504.39891996 81158.81697870 -471.38477670 84082.48476479 20314.92832179 1432585.31169743
3.179999999999994 16371.45121747 135702.86584606 -484.75069634 46297.67713325 74956.50682450 1464991.04458768 107532.78083994 84380.05249246 -484.75069634 85739.65572377 20264.85281556 1464991.04458768
3.2099999999999937 14745.26618594 138294.10836534 -498.12233127 47350.17790809 75900.35561240 1492874.32574027 108215.17953376 87362.22411280 -498.12233127 87151.28803720 20188.02425880 1492874.32574027
3.2399999999999936 13238.86992843 140238.68731558 -511.16307232 48132.61536783 76585.08587380 1513694.80213863 108525.02148718 89802.43208391 -511.16307232 88188.73228195 20118.93483628 1513694.80213863
3.2699999999999934 12030.20989233 141380.58156373 -523.59677335 48562.01860952 76974.17894482 1525752.45764042 108477.81094578 91464.52495784 -523.59677335 88767.49657505 20090.43124125 1525752.45764042
3.299999999999993 11262.69424640 141652.16338446 -535.23448969 48594.35206936 77063.12203801 1528312.07398797 108127.13277496 92199.27782284 -535.23448969 88853.25204809 20130.46029687 1528312.07398797
3.329999999999993 11031.98216418 141076.17784577 -545.99382325 48226.89300969 76878.02505263 1521624.66062614 107556.71141685 91955.13262041 -545.99382325 88462.53592165 20259.40975623 1521624.66062614
3.3599999999999928 11377.89266141 139758.57636881 -555.90134315 47496.40725763 76471.22456444 1506849.11817846 106869.62213586 90778.85202287 -555.90134315 87658.35310902 20488.28980129 1506849.11817846
3.3899999999999926 12282.20457014 137873.40701447 -565.08655923 46473.47809251 75914.49013524 1485887.08242294 106176.05118469 88806.39090576 -565.08655923 86541.36226949 20817.93926041 1485887.08242294
3.4199999999999924 13672.30656171 135641.71421882 -573.76327717 45253.79051341 75290.70294265 1461152.28848392 105580.95662014 86245.39525165 -573.76327717 85237.82875747 21239.30446462 1461152.28848392
3.449999999999992 15430.11161445 133306.83332158 -582.20052563 43947.33667523 74684.75995278 1435301.00299944 105172.90237724 83351.42926315 -582.20052563 83885.55999204 21734.64043576 1435301.00299944
3.479999999999992 17405.36481149 131108.79598150 -590.69013309 42666.76092732 74174.84290969 1410952.77822903 105015.37019895 80400.46722449 -590.69013309 82619.49039786 22279.57843192 1410952.77822903
3.509999999999992 19431.87792827 129260.47283428 -599.51209232 41516.01115166 73824.88026844 1390430.16160468 105141.36953477 77660.54422623 -599.51209232 81558.32647126 22845.82044494 1390430.16160468
3.5399999999999916 21344.89108500 127927.73505000 -608.90491381 40580.42184751 73678.88924378 1375542.53479018 105551.68618558 75365.45172580 -608.90491381 80793.53368635 23404.15074278 1375542.53479018
3.5699999999999914 22997.77254562 127215.44770773 -619.04214145 39919.13223993 73757.68430896 1367433.40449868 106216.78666501 73693.02482663 -619.04214145 80381.64784542 23927.46963354 1367433.40449868
3.599999999999991 24276.45441965 127160.40268866 -630.01509785 39560.50578436 74058.18022366 1366503.06771141 107082.02858286 72749.93749626 -630.01509785 80340.54334577 24393.53953119 1366503.06771141
3.629999999999991 25110.02608159 127731.45962720 -641.82711042 39500.89073208 74555.17205155 1372410.29391400 108075.25099132 72564.31155518 -641.82711042 80649.81542974 24787.12003062 1372410.29391400
3.659999999999991 25476.44591734 128836.48683618 -654.39744366 39706.66810413 75205.24523881 1384148.45682864 109115.72117480 73086.58583743 -654.39744366 81254.99316392 25101.28461441 1384148.45682864
3.6899999999999906 25403.04832444 130335.06424933 -667.57478483 40119.19232830 75952.34165842 1400184.30282378 110123.47549011 74198.14002406 -667.57478483 82074.96878473 25337.86288260 1400184.30282378
3.7199999999999904 24961.83343422 132055.30723726 -681.15652731 40661.96727965 76734.19370696 1418641.80447864 111027.88493133 75726.52154696 -681.15652731 83011.62151890 25506.91591925 1418641.80447864
