# Body fitted drag for model part FluidModelPart.Drag_structure
# Time Fx Fy Fz
64.92000000000169 10018654.10627565 -381351.16244930 342437.40861290
64.9500000000017 10021469.85884794 -382326.26655083 340420.46958883
64.9800000000017 10024379.94982745 -383246.48656857 338426.20236883
65.0100000000017 10027392.14491932 -384137.97752610 336457.09637314
65.0400000000017 10030505.19487787 -385018.69644829 334514.52694646
65.0700000000017 10033711.64446341 -385901.08890699 332598.87975684
65.1000000000017 10037001.59739934 -386781.14462915 330709.01915270
65.1300000000017 10040365.16131798 -387646.50746847 328843.45211205
65.1600000000017 10043797.40928544 -388480.08919928 327001.33045296
65.1900000000017 10047299.65728993 -389269.06519665 325182.73958331
65.2200000000017 10050882.40672640 -390006.30749361 323388.34037191
65.2500000000017 10054563.78287657 -390684.19522337 321619.18546258
65.2800000000017 10058366.45181828 -391293.66362765 319876.53941688
65.31000000000171 10062309.86782780 -391825.53987007 318161.59103470
65.34000000000171 10066408.98644932 -392272.74905886 316475.86355221
65.37000000000171 10070671.06853382 -392630.79089940 314821.01329761
65.40000000000171 10075094.63247756 -392895.56803433 313198.06633977
65.43000000000171 10079675.48651180 -393058.26814163 311607.09287335
65.46000000000171 10084411.60990097 -393104.01474737 310047.69937817
65.49000000000171 10089304.55139871 -393014.15386058 308519.61921088
65.52000000000172 10094358.41386560 -392771.83555285 307022.84969546
65.55000000000172 10099574.86482021 -392369.61817765 305557.37660166
65.58000000000172 10104953.16330511 -391799.48703945 304123.38772751
65.61000000000172 10110491.65280782 -391052.15384013 302720.84157745
65.64000000000172 10116188.71915054 -390122.52159277 301349.04176876
65.67000000000172 10122040.92592228 -389012.72428241 300007.48970030
65.70000000000172 10128045.48622948 -387727.16673345 298696.12982526
65.73000000000172 10134195.79759875 -386273.72738428 297414.86843460
65.76000000000172 10140477.33260688 -384666.96427628 296163.43702704
65.79000000000173 10146874.83808369 -382918.46535977 294941.26339140
65.82000000000173 10153371.09782216 -381037.14786067 293747.32459706
65.85000000000173 10159948.83680575 -379029.55866968 292580.41572529
65.88000000000173 10166585.86151397 -376901.58839349 291439.07553114
65.91000000000173 10173255.33637962 -374661.81222217 290322.34333987
65.94000000000173 10179928.57472017 -372324.32029311 289230.32443300
65.97000000000173 10186576.52006127 -369908.65168995 288164.03829634
66.00000000000173 10193165.70346970 -367440.26284216 287124.52426267
66.03000000000173 10199652.79849280 -364946.12968131 286111.79342021
66.06000000000174 10205991.26683726 -362448.37397132 285123.97318344
66.09000000000174 10212130.28640652 -359967.89262500 284157.63794618
66.12000000000174 10218019.28580244 -357526.98841404 283208.59290229
66.15000000000174 10223622.51266220 -355142.00694556 282272.90538262
66.18000000000174 10228924.20457532 -352820.96358181 281347.34378787
66.21000000000174 10233924.44812552 -350573.23977325 280430.22158132
66.24000000000174 10238630.17536601 -348410.67549340 279521.37332745
66.27000000000174 10243046.93290672 -346347.56359327 278621.25850357
66.30000000000175 10247172.66606294 -344405.12543067 277730.62801744
66.33000000000175 10250996.70848354 -342610.65318346 276850.98840451
66.36000000000175 10254503.61482761 -340995.61686875 275984.71725966
66.39000000000175 10257674.64325958 -339591.39176882 275133.48934324
66.42000000000175 10260495.52105150 -338428.18892588 274299.40460000
66.45000000000175 10262958.01901853 -337534.71019067 273483.91016935
66.48000000000175 10265069.30793374 -336940.26198921 272688.63345509
66.51000000000175 10266852.94344930 -336676.02992574 271915.43647222
66.54000000000175 10268343.20421250 -336768.46467669 271165.70539126
66.57000000000176 10269580.44627319 -337237.30980026 270439.35663428
66.60000000000176 10270604.28762042 -338090.69497823 269735.57639038
66.63000000000176 10271447.87645749 -339321.53426335 269053.55206208
66.66000000000176 10272131.65828574 -340910.11768549 268392.09314252
66.69000000000176 10272666.04625130 -342821.58799155 267750.25318609
66.72000000000176 10273054.56016130 -345003.70591229 267126.54105946
66.75000000000176 10273301.21169465 -347395.00399934 266518.15129456
66.78000000000176 10273413.75452619 -349928.66474274 265920.88072762
66.81000000000176 10273408.48113717 -352523.04148039 265330.57671166
66.84000000000177 10273307.50885378 -355087.20063346 264743.44277658
66.87000000000177 10273128.02372586 -357537.91243407 264156.15852497
66.90000000000177 10272875.10631234 -359809.42175545 263565.57186959
66.93000000000177 10272543.33626755 -361856.11599286 262969.21892047
66.96000000000177 10272117.42780618 -363639.77755753 262364.80946238
66.99000000000177 10271582.22869618 -365117.72221464 261750.52876978
67.02000000000177 10270933.18712100 -366239.46593250 261126.23288155
67.05000000000177 10270177.13863967 -366952.61944456 260493.85353272
67.08000000000177 10269335.45122480 -367204.10196958 259856.39846571
67.11000000000178 10268437.26156796 -366951.94905796 259217.33603997
67.14000000000178 10267512.12326417 -366165.70526110 258579.16533876
67.17000000000178 10266587.14728214 -364821.56925558 257942.14539682
67.20000000000178 10265685.75290482 -362906.62604041 257303.98385753
67.23000000000178 10264832.46817274 -360428.30958786 256661.32233655
67.26000000000178 10264059.94138564 -357401.60586771 256011.11333460
67.29000000000178 10263405.02747423 -353843.89954189 255351.90942298
67.32000000000178 10262899.06734300 -349770.08186758 254684.39213445
67.35000000000178 10262567.52672473 -345196.12291483 254010.96557775
67.38000000000179 10262417.53547386 -340140.73102829 253334.06832653
67.41000000000179 10262440.88953856 -334622.47438977 252655.84655758
67.44000000000179 10262629.12833251 -328659.57348247 251978.18220795
67.47000000000179 10262971.00424013 -322277.26354354 251302.28865113
67.50000000000179 10263452.21457246 -315499.44501302 250628.58877409
67.53000000000179 10264056.49847833 -308355.13007022 249957.30156206
67.56000000000179 10264772.92048062 -300870.91522817 249288.90341947
67.5900000000018 10265593.28835700 -293071.32304162 248624.42711298
67.6200000000018 10266505.29178513 -284987.74864684 247966.42361617
67.6500000000018 10267491.13114397 -276663.61796909 247318.11805573
67.6800000000018 10268530.26958880 -268154.45313584 246682.48429383
67.7100000000018 10269602.11905325 -259522.81030859 246062.27066483
67.7400000000018 10270688.53618040 -250838.99853442 245460.13166188
67.7700000000018 10271773.36121082 -242171.75198940 244878.04646157
67.8000000000018 10272845.15657573 -233576.96295019 244318.22638511
67.8300000000018 10273892.19447011 -225099.07136463 243782.28857098
67.8600000000018 10274896.28393382 -216769.34951580 243270.34503729
67.8900000000018 10275830.90463238 -208608.98892111 242780.92487366
67.9200000000018 10276662.33602720 -200633.30390380 242311.20816406
67.95000000000181 10277352.58757521 -192857.10174248 241857.84033484
67.98000000000181 10277869.55621179 -185296.99017946 241417.36758413
68.01000000000181 10278188.85882501 -177970.06398311 240985.99937716
68.04000000000181 10278294.03686417 -170888.01021571 240559.72004806
68.07000000000181 10278166.59064500 -164066.43508231 240134.28684505
68.10000000000181 10277799.45625812 -157506.92216873 239706.09980328
68.13000000000181 10277198.48915603 -151196.20103961 239271.78922894
68.16000000000182 10276367.79393318 -145126.06503374 238828.34215874
68.19000000000182 10275316.08693200 -139277.08827027 238373.97809057
68.22000000000182 10274056.60822795 -133622.47601149 237908.35846096
68.25000000000182 10272601.07241048 -128142.25197145 237432.26548248
68.28000000000182 10270956.32173074 -122825.38041214 236946.52875888
68.31000000000182 10269126.54983369 -117671.45462801 236451.90327933
68.34000000000182 10267117.81879112 -112682.39994708 235948.81501043
68.37000000000182 10264939.79184030 -107845.80216522 235436.64265420
68.40000000000182 10262609.20124911 -103123.95529830 234914.45922079
68.43000000000183 10260145.87050036 -98464.89599569 234381.40312154
68.46000000000183 10257568.04970337 -93819.73654099 233836.25365000
68.49000000000183 10254883.56709299 -89161.99358244 233277.26926152
68.52000000000183 10252092.48120352 -84488.47771333 232702.99176508
68.55000000000183 10249197.98234715 -79802.56267792 232112.79516925
68.58000000000183 10246208.03006188 -75110.94501470 231506.69038213
68.61000000000183 10243135.15013505 -70416.67300958 230884.73889188
68.64000000000183 10239995.77192431 -65718.90815580 230246.93390767
68.67000000000183 10236812.43712022 -61012.96957895 229593.86985411
68.70000000000184 10233612.54482741 -56289.31937359 228927.00402582
68.73000000000184 10230424.07592657 -51542.11617808 228249.11237744
68.76000000000184 10227264.53298208 -46776.14737095 227563.79856936
68.79000000000184 10224134.11631393 -42011.69360808 226875.03509214
68.82000000000184 10221019.10087127 -37290.54640901 226187.02664362
68.85000000000184 10217900.65527261 -32669.21314385 225504.05353347
68.88000000000184 10214767.89764420 -28196.10662024 224829.64912410
68.91000000000184 10211624.67098719 -23901.89672289 224166.45481515
68.94000000000185 10208489.28190281 -19792.74921987 223516.88177258
68.97000000000185 10205381.15451398 -15859.58302145 222883.30693904
69.00000000000185 10202309.79947790 -12092.97560976 222268.18540992
69.03000000000185 10199270.66106405 -8501.92481440 221674.13083774
69.06000000000185 10196247.00078557 -5112.26694324 221104.06502194
69.09000000000185 10193219.07399303 -1950.41220895 220561.18285091
69.12000000000185 10190176.66574682 973.71891014 220048.94852773
69.15000000000185 10187117.09458383 3657.33056788 219571.06282141
69.18000000000185 10184044.33986955 6093.41234913 219131.59660708
69.21000000000186 10180959.41445060 8268.09157086 218734.73846466
69.24000000000186 10177850.80915191 10150.78322742 218384.28649877
69.27000000000186 10174699.86442139 11695.29686320 218083.26383530
69.30000000000186 10171495.11993980 12868.78861479 217833.42266202
69.33000000000186 10168236.67736807 13657.21530620 217636.20574034
69.36000000000186 10164932.95277586 14050.95387710 217492.91563066
69.39000000000186 10161585.39994012 14036.19034237 217404.44369512
69.42000000000186 10158188.94558406 13603.96197440 217371.43982174
69.45000000000186 10154735.95400518 12756.91273395 217394.83966722
69.48000000000187 10151218.32391586 11510.23360102 217475.17916406
69.51000000000187 10147626.38496681 9881.04591687 217611.89060506
69.54000000000187 10143955.04008023 7878.61223443 217803.17816745
69.57000000000187 10140208.91068863 5500.85795833 218046.86795159
69.60000000000187 10136400.30924455 2739.24007855 218341.09730242
69.63000000000187 10132551.61774441 -409.03921204 218684.67431283
69.66000000000187 10128685.44369301 -3939.85995528 219075.94207836
69.69000000000187 10124819.21962587 -7845.09643470 219512.97922240
69.72000000000187 10120969.42256262 -12110.08890848 219994.18264535
69.75000000000188 10117146.69255535 -16720.46558984 220518.04234153
69.78000000000188 10113356.69938557 -21663.15711516 221083.62804494
69.81000000000188 10109605.08052951 -26909.17179634 221690.76928054
69.84000000000188 10105899.98006774 -32406.13464992 222339.39349839
